SUBURB,Jul - Sep 19,Oct - Dec 19,Jan - Mar 20,Apr- Jun 20,Jul - Sep 20,No of sales Jul - Sep 20,No of Sales YTD,Change % previous year,Change % previous quarter
JUNCTION VILLAGE,453200,535000,467500,515000,445000,1,5,-1.8,-13.6
ROCHESTER,260000,255000,235000,220000,255000,21,43,-1.9,15.9
FLEMINGTON,1100000,1019500,1017000,915000,985000,3,29,-10.5,7.7
KILLARA (WODONGA),525000,430000,421000,427500,470000,12,34,-10.5,9.9
ST KILDA EAST,1511000,1565000,1679500,1580000,1352600,8,26,-10.5,-14.4
TALLANGATTA,285000,260000,325000,165000,255000,5,11,-10.5,54.5
ALTONA EAST,900000,855000,802500,892000,805000,4,19,-10.6,-9.8
SANDHURST,805000,887500,790000,810000,720000,15,53,-10.6,-11.1
BLACKBURN NORTH,978500,1152000,1090000,1046500,872000,6,46,-10.9,-16.7
OUYEN,112300,75000,143800,70500,100000,11,23,-10.9,41.8
BANDIANA,365000,400300,369000,456300,325000,1,8,-11.0,-28.8
BELLFIELD (BANYULE),844500,750000,735000,910000,750000,4,13,-11.2,-17.6
MARIBYRNONG,1015000,1150000,1035000,1030000,900000,9,42,-11.3,-12.6
MALVERN,2825500,2725000,2520000,2300000,2500000,12,44,-11.5,8.7
NORTH MELBOURNE,1301000,1510000,1120000,1061100,1150000,5,24,-11.6,8.4
MALVERN EAST,1828500,1787500,1700000,2090000,1615000,30,117,-11.7,-22.7
BURWOOD EAST,1055000,1106000,1088000,1000000,930000,10,68,-11.8,-7.0
BALWYN,2400000,2408000,2267500,2140000,2115000,16,68,-11.9,-1.2
SMITHS BEACH,730000,595000,560000,742000,640000,5,14,-12.3,-13.7
KINGSVILLE,1187500,998000,923500,1007000,1040000,8,21,-12.4,3.3
LOVELY BANKS,663000,533100,563000,532500,580000,5,15,-12.5,8.9
BALLAN,479500,451000,534500,470000,418800,8,32,-12.7,-10.9
HEATHERTON,985000,1000000,865000,991000,860000,5,21,-12.7,-13.2
VERMONT SOUTH,1170000,1260000,1210000,1085000,1017500,8,51,-13.0,-6.2
DONVALE,1285000,1199000,1150000,1123500,1115000,8,43,-13.2,-0.8
NERRINA,690000,440000,625000,411000,597500,10,23,-13.4,45.4
SOUTH KINGSVILLE,915000,859000,975000,1146000,792000,1,15,-13.4,-30.9
RAINBOW,85000,67000,77500,60000,73500,4,13,-13.5,22.5
CREMORNE,1190000,1299500,1472500,1051000,1028000,3,12,-13.6,-2.2
MERBEIN,226000,210000,198300,168000,195000,14,36,-13.7,16.1
PEARCEDALE,692000,700000,705000,580000,597500,4,24,-13.7,3.0
PORT ALBERT,305000,219000,461000,327500,262500,6,11,-13.9,-19.8
BEVERIDGE,620300,550000,600000,555000,532000,13,30,-14.2,-4.1
PARKVILLE,2012500,2300000,1690000,1625000,1725000,1,6,-14.3,6.2
BRIGHT,725000,575000,645000,629900,620000,13,32,-14.5,-1.6
LUCKNOW,282000,265000,435000,343000,241000,4,14,-14.5,-29.7
BOX HILL,1677000,1552500,1613000,1383000,1429000,5,28,-14.8,3.3
BROOKLYN,750000,675000,617500,725000,638800,4,11,-14.8,-11.9
CHEWTON,475000,532500,576000,520000,403800,2,7,-15.0,-22.4
NIDDRIE,1147500,1050000,876300,897500,975300,10,42,-15.0,8.7
INGLEWOOD,250000,185000,275000,195000,212000,7,16,-15.2,8.7
KOO WEE RUP,570000,547500,510000,486300,480000,11,32,-15.8,-1.3
WAHGUNYAH,314000,350000,395000,395000,264000,6,10,-15.9,NA
GOWANBRAE,697000,750000,764000,647500,585000,3,15,-16.1,-9.7
CLIFTON HILL,1250000,1553000,1538500,1345000,1040000,6,31,-16.8,-22.7
GREEN LAKE,304500,195000,375000,360000,253000,2,13,-16.9,-29.7
KANIVA,119800,177000,137500,96000,99000,5,13,-17.3,3.1
ORBOST,260000,180000,177500,217000,215000,15,38,-17.3,-0.9
CARRUM,836300,750000,900000,979000,690000,7,22,-17.5,-29.5
DUNOLLY,257000,158800,209000,245000,212000,3,9,-17.5,-13.5
ST KILDA WEST,3100000,1737000,2450000,2630000,2550000,5,11,-17.7,-3.0
ELMORE,332500,210500,235000,377500,273400,4,14,-17.8,-27.6
WEDDERBURN,167500,135300,135300,125000,137500,8,11,-17.9,10.0
BIRREGURRA,462800,423000,465000,551000,379000,1,12,-18.1,-31.2
SOUTH YARRA,2194000,1665500,2068800,1642500,1797500,18,56,-18.1,9.4
BOX HILL SOUTH,1296400,1283400,1370000,1179500,1060000,11,42,-18.2,-10.1
CANTERBURY,3268000,3100000,2625000,2700000,2670000,9,48,-18.3,-1.1
WYCHEPROOF,124500,100000,132500,115000,101500,4,12,-18.5,-11.7
SELBY,731000,597500,705000,743500,585300,2,11,-19.9,-21.3
CAROLINE SPRINGS,620000,652500,655000,680000,607500,32,152,-2.0,-10.7
DONCASTER,1280000,1300000,1326300,1235000,1255000,23,102,-2.0,1.6
MOOROOPNA,272300,231800,270000,223800,266800,34,96,-2.0,19.2
POINT COOK,653300,650000,660000,655000,640000,75,292,-2.0,-2.3
BURWOOD,1359000,1200000,1302500,1007500,1331000,9,45,-2.1,32.1
HAMPTON EAST,1235000,1255000,1330000,1285000,1207500,6,42,-2.2,-6.0
STRATHTULLOH,540000,540000,470000,520000,527500,8,32,-2.3,1.4
TARNEIT,561000,560000,554000,576500,548000,70,354,-2.3,-4.9
WESTMEADOWS,634400,622500,560000,570000,620000,13,45,-2.3,8.8
SCORESBY,765900,863100,790000,760500,747500,6,31,-2.4,-1.7
MITCHAM,925000,1040000,1092500,974500,902000,19,90,-2.5,-7.4
NEW GISBORNE,735000,717500,682500,715000,716500,6,17,-2.5,0.2
WOLLERT,585000,577000,599500,580000,570000,53,262,-2.6,-1.7
HAMLYN HEIGHTS,550000,550500,560000,577500,535000,35,90,-2.7,-7.4
FOREST HILL,990000,925000,1075000,978500,962500,6,38,-2.8,-1.6
PLENTY,1400000,1301000,1120000,1245000,1361300,2,11,-2.8,9.3
THE BASIN,752600,695000,778000,833000,731300,12,32,-2.8,-12.2
SURREY HILLS,1931000,1960000,1898000,1650000,1875000,12,69,-2.9,13.6
SEA LAKE,135000,97500,121500,80500,108000,5,17,-20.0,34.2
CAPE PATERSON,560000,557500,657300,675000,445000,6,22,-20.5,-34.1
ST KILDA,1467500,3017500,1771800,1315000,1162500,6,24,-20.8,-11.6
COBRAM,302500,275000,304000,252000,239000,35,76,-21.0,-5.2
ARMADALE,2610000,2825000,2320000,2500000,2054000,11,45,-21.3,-17.8
CAULFIELD NORTH,2200000,2625000,2557500,1956000,1709000,11,57,-22.3,-12.6
LORNE,1817500,1450000,1637500,1020000,1405000,14,32,-22.7,37.7
CHELTENHAM NORTH,1057500,1036000,950500,905000,815000,7,27,-22.9,-9.9
BOOLARRA,230000,283500,283500,245000,175000,1,2,-23.9,-28.6
OMEO,305000,242500,238000,238000,230000,3,8,-24.6,NA
DUNKELD,292500,172500,267500,610000,220000,6,11,-24.8,-63.9
BLACK HILL,532500,515000,420000,405000,400000,7,23,-24.9,-1.2
ROCKBANK,575000,443000,480000,387500,423000,3,12,-26.4,9.2
SURF BEACH,617500,496000,492000,462500,453800,6,17,-26.5,-1.9
CLAYTON NORTH,1240000,1644000,1655000,1444400,895100,1,5,-27.8,-38.0
ALBERT PARK,2465000,2220000,2040000,1777500,1738800,8,57,-29.5,-2.2
WEST MELBOURNE,1385000,1640500,1350000,1340000,976000,5,12,-29.5,-27.2
STRATHMERTON,277500,162500,162500,162500,195000,4,4,-29.7,NA
LAKE TYERS BEACH,366300,357500,351000,308000,355000,4,17,-3.1,15.3
THE PATCH,655500,990000,990000,680000,635000,1,6,-3.1,-6.6
TEMPLESTOWE,1400000,1320000,1417500,1400000,1355000,27,73,-3.2,-3.2
BURNSIDE HEIGHTS,685000,595000,618000,651000,662500,10,43,-3.3,1.8
COWES,600000,605000,542000,602300,580000,13,32,-3.3,-3.7
HORSHAM,269000,265000,254000,242500,260000,93,243,-3.3,7.2
SKYE,610000,610000,608500,613500,590000,10,63,-3.3,-3.8
MAIDSTONE,745000,839000,775000,750000,720000,11,53,-3.4,-4.0
SORRENTO,1485000,1440000,1500000,1586700,1435000,18,74,-3.4,-9.6
TRUGANINA,590000,570800,587000,590000,570000,56,238,-3.4,-3.4
WEIR VIEWS,486500,430000,472500,493000,470000,15,43,-3.4,-4.7
BOX HILL NORTH,1222500,1265000,1200000,1210000,1180000,19,54,-3.5,-2.5
HARKNESS,480000,480000,470000,465000,463000,37,134,-3.5,-0.4
PASCOE VALE SOUTH,966800,1130000,957500,989300,933000,6,22,-3.5,-5.7
MOUNT WAVERLEY,1303000,1329300,1313000,1305000,1254400,34,171,-3.7,-3.9
EUMEMMERRING,561500,520000,556500,525000,540000,1,13,-3.8,2.9
LAKE BOGA,239000,135000,211500,235000,230000,4,11,-3.8,-2.1
MIDDLE PARK,2700000,3100000,3032500,1993000,2597500,6,26,-3.8,30.3
HIGHETT,1280000,1333800,1300000,1300000,1230000,13,70,-3.9,-5.4
LAKE WENDOUREE,1000000,855000,1200000,1200000,697500,14,29,-30.3,-41.9
PORTSEA,2300000,1860000,2570000,2100000,1600000,11,34,-30.4,-23.8
CASTERTON,170000,122500,161500,120000,117500,10,32,-30.9,-2.1
CAULFIELD EAST,1340000,1372500,1748500,900000,920000,1,8,-31.3,2.2
TRAVANCORE,1560000,1250000,1250000,1685000,1055000,1,4,-32.4,-37.4
INDENTED HEAD,797500,615500,605000,497500,537500,6,21,-32.6,8.0
GLEN HUNTLY,1602000,1440000,1350500,1149000,1017500,4,11,-36.5,-11.4
SEASPRAY,370000,345000,443000,330000,235000,8,10,-36.5,-28.8
MALLACOOTA,512500,305000,415000,355000,315000,6,17,-38.5,-11.3
VIOLET TOWN,342500,306400,279000,348000,328500,2,9,-4.1,-5.6
MONT ALBERT NORTH,1417000,1551000,1577500,1345000,1357900,7,23,-4.2,1.0
AIRPORT WEST,810500,851000,832500,798500,775000,15,69,-4.4,-2.9
GRANTVILLE,392500,460000,452500,360000,375000,5,24,-4.5,4.2
KINGLAKE,555000,550000,620000,585000,530000,3,13,-4.5,-9.4
LOWER PLENTY,770000,950000,1311500,912200,735000,2,14,-4.5,-19.4
CHELTENHAM,1137000,1175000,1170000,1146000,1085000,17,71,-4.6,-5.3
PARK ORCHARDS,1605000,1835000,1570000,1500000,1530000,3,8,-4.7,2.0
BAYSWATER,736000,800000,757500,747000,700000,15,62,-4.9,-6.3
EYNESBURY,599500,578000,547000,630000,570000,5,29,-4.9,-9.5
YARRAVILLE,1010000,986000,952500,1050000,960100,26,106,-4.9,-8.6
PRINCES HILL,2218500,2212500,1332000,1743100,1300000,4,17,-41.4,-25.4
FIVEWAYS,957500,637000,490000,411000,535000,5,9,-44.1,30.2
KEILOR EAST,885000,815000,834500,825000,840000,28,105,-5.1,1.8
KEW NORTH,1897500,1770000,2221500,1600000,1800000,9,30,-5.1,12.5
HEATHCOTE,295500,320000,370000,340000,280000,5,23,-5.2,-17.6
KEALBA,612000,598000,600000,595000,580000,9,22,-5.2,-2.5
ASHBURTON,1760000,1722500,1530000,1528000,1666800,11,48,-5.3,9.1
BENTLEIGH EAST,1225000,1250000,1260800,1155000,1160000,45,174,-5.3,0.4
MITCHELL PARK,327500,305000,325000,330000,310000,1,7,-5.3,-6.1
JEERALANG NORTH,185000,242500,236500,337500,175000,7,15,-5.4,-48.1
KILSYTH,676300,677500,693300,658000,640000,25,102,-5.4,-2.7
KNOXFIELD,846300,784500,812400,790000,801000,9,41,-5.4,1.4
MOORABBIN,1120000,1177500,1177500,1040000,1059000,11,47,-5.4,1.8
WANDIN NORTH,621000,630000,721300,715000,587500,4,11,-5.4,-17.8
GLENROWAN,365000,372500,372500,330000,345000,3,8,-5.5,4.5
YALLAMBIE,861000,878000,857000,830000,813500,4,16,-5.5,-2.0
CLUNES,310000,372500,305000,360000,292500,10,19,-5.6,-18.8
MOUNT MARTHA,1316500,1510000,1400000,1335000,1242500,12,77,-5.6,-6.9
KALLISTA,750000,630000,563800,725000,707500,4,7,-5.7,-2.4
MELTON,397500,385000,390000,390000,375000,26,76,-5.7,-3.8
BURNSIDE,620000,616000,663000,673500,583800,8,30,-5.8,-13.3
MOONEE PONDS,1255000,1351000,1300000,1242500,1182000,16,71,-5.8,-4.9
WAURN PONDS,685000,650000,567500,717500,645000,12,32,-5.8,-10.1
BALACLAVA,1502500,1361000,1436000,1390000,1414000,6,22,-5.9,1.7
RUPANYUP,159000,85000,140000,140000,65000,1,6,-59.1,NA
BRUNSWICK EAST,1192000,992800,1168500,1286500,1120000,7,40,-6.0,-12.9
EASTWOOD,440000,410000,395000,437500,413000,13,38,-6.1,-5.6
LENEVA,452500,420500,455000,441000,425000,3,12,-6.1,-3.6
SAN REMO,601000,475000,596300,500000,564500,12,29,-6.1,12.9
MULGRAVE,881000,861000,850000,815000,826300,28,116,-6.2,1.4
OAK PARK,947500,926000,1005800,875000,887500,10,39,-6.3,1.4
RIDDELLS CREEK,757500,662500,685000,650000,710000,7,17,-6.3,9.2
SEAHOLME,1020000,1100000,960000,895000,955000,3,14,-6.4,6.7
PARKDALE,1152500,1285000,1201000,1168500,1077500,18,75,-6.5,-7.8
TRARALGON EAST,577500,430000,454000,500000,540000,5,12,-6.5,8.0
CAULFIELD,1830000,1811000,2125000,1795000,1705000,3,13,-6.8,-5.0
WANTIRNA,951000,877500,930000,850000,885000,17,59,-6.9,4.1
COONGULLA,285000,355800,310000,310000,265000,2,3,-7.0,NA
SUNSHINE WEST,645000,655000,656300,647500,600000,20,70,-7.0,-7.3
CLAYTON,1082500,1166000,1121000,1030000,1005900,4,24,-7.1,-2.3
CRANBOURNE SOUTH,625000,636800,637900,640000,580500,2,8,-7.1,-9.3
YARRAGON,425000,430000,425000,375000,395000,7,19,-7.1,5.3
BRUNSWICK,1037500,1155000,1208000,1095000,963000,25,95,-7.2,-12.1
EUREKA,345000,371500,315000,475000,320000,3,6,-7.2,-32.6
BALLARAT NORTH,400000,457500,412500,421000,371000,24,53,-7.3,-11.9
WANTIRNA SOUTH,1012500,1050000,1088000,938800,939000,22,81,-7.3,0.0
WINDSOR,1350000,1670000,1465000,1180000,1250000,6,34,-7.4,5.9
ALTONA,887500,941000,1010000,925000,820000,24,77,-7.6,-11.4
BUNDOORA,754500,770000,767000,698500,695000,34,143,-7.9,-0.5
CAMBERWELL,2169000,2295000,2022800,2278900,1995000,20,95,-8.0,-12.5
MOUNT MACEDON,940000,850000,1035800,1140000,865000,4,12,-8.0,-24.1
BULLEEN,1200000,1210000,1250000,1205000,1100000,12,55,-8.3,-8.7
IRYMPLE,418000,393000,315000,290000,383300,22,52,-8.3,32.2
OAKLEIGH EAST,1026100,959000,967000,995000,940500,5,16,-8.3,-5.5
KEILOR,865000,875000,800000,913800,792500,6,27,-8.4,-13.3
CORRYONG,282500,241000,211500,190000,258500,8,25,-8.5,36.1
HEYWOOD,185500,162500,210000,188000,169800,8,21,-8.5,-9.7
ESSENDON,1400000,1550000,1453500,1387500,1280000,19,91,-8.6,-7.7
MCKINNON,1542500,1525000,1750000,1592500,1410000,5,22,-8.6,-11.5
ELTHAM,937500,982500,915000,986000,855000,15,93,-8.8,-13.3
DONALD,145000,105000,164000,125000,132000,12,31,-9.0,5.6
WESTGARTH,1765000,1472500,1441000,1490000,1600000,5,14,-9.3,7.4
MORDIALLOC,1090000,1022500,1162500,997500,988000,5,37,-9.4,-1.0
DARLEY,520100,555000,535000,485000,470000,22,75,-9.6,-3.1
DERRIMUT,671500,680000,630000,645000,607000,4,33,-9.6,-5.9
MOUNT CLEAR,447500,407500,422500,400000,403800,24,51,-9.8,0.9
ALTONA MEADOWS,625000,612500,650000,600000,625000,13,51,0.0,4.2
ASHWOOD,1210000,1219400,1156500,1235000,1210500,6,28,0.0,-2.0
DUNNSTOWN,-,607500,549900,390000,485000,1,3,0.0,24.4
LANGWARRIN,650000,631500,645000,633900,650000,47,178,0.0,2.5
NELSON,200000,305000,247500,260000,200000,1,6,0.0,-23.1
RINGWOOD,845000,813500,937500,896500,845000,19,81,0.0,-5.7
BARANDUDA,409000,407500,449000,398500,409500,4,17,0.1,2.8
FRANKSTON NORTH,427500,430800,455000,435000,428000,22,67,0.1,-1.6
CRANBOURNE NORTH,578200,570000,575000,596500,580000,33,168,0.3,-2.8
CROYDON SOUTH,688000,750000,762500,828000,690000,11,40,0.3,-16.7
MILLGROVE,405000,425000,430000,430000,406300,4,29,0.3,-5.5
COBBLEBANK,493000,524000,465000,528500,495000,8,27,0.4,-6.3
TOOTGAROOK,617500,582000,630500,587500,620000,19,59,0.4,5.5
TULLAMARINE,618000,619000,675000,597600,620500,4,18,0.4,3.8
CARLTON NORTH,1512500,1816000,1347500,1600000,1520000,13,30,0.5,-5.0
KALKALLO,547500,564000,545000,555000,550000,11,47,0.5,-0.9
BEAUMARIS,1680000,1637500,1690000,1800000,1690000,22,78,0.6,-6.1
GOLDEN POINT (BALLARAT),392500,352500,378500,467500,395000,11,34,0.6,-15.5
NORTHCOTE,1340000,1465000,1400000,1420500,1348000,21,112,0.6,-5.1
CLYDE NORTH,571000,605000,600000,592000,575000,60,224,0.7,-2.9
RESERVOIR,762500,795000,827000,792500,767500,46,224,0.7,-3.2
WONTHAGGI,369000,401500,385000,367500,371500,24,69,0.7,1.1
GLEN WAVERLEY,1250000,1339800,1285000,1236000,1260000,43,192,0.8,1.9
SPRINGVALE,759000,762000,813600,755000,765000,14,47,0.8,1.3
TYABB,615000,635000,577000,560000,620000,4,16,0.8,10.7
YARRA JUNCTION,600000,580000,540000,602500,605000,6,30,0.8,0.4
TOORA,275000,310000,222500,230000,277500,4,8,0.9,20.7
ALBANVALE,500000,517000,551500,505000,505000,11,34,1.0,0.0
BEECHWORTH,520000,499000,480000,439100,525000,17,42,1.0,19.6
MANSFIELD,495000,440000,440000,460000,500000,27,58,1.0,8.7
MEADOW HEIGHTS,479000,511000,482500,507500,484000,20,79,1.0,-4.6
NUNAWADING,941500,1044400,1170500,930000,951000,11,62,1.0,2.3
EMERALD,662500,700000,742500,700000,670000,7,40,1.1,-4.3
MINERS REST,435000,420000,438000,420000,440000,27,55,1.1,4.8
JAN JUC,887000,870100,933000,920000,897500,12,36,1.2,-2.4
MACLEOD,1005000,920000,975000,950000,1016600,13,51,1.2,7.0
RICHMOND,1243500,1335000,1249500,1341000,1260000,27,109,1.3,-6.0
BORONIA,700000,730000,725000,697500,710000,43,154,1.4,1.8
COLDSTREAM,638600,645000,656000,652000,647800,2,18,1.4,-0.7
NORTH WONTHAGGI,429000,357000,410000,366500,435000,15,41,1.4,18.7
BELL PARK,487500,480000,500800,500000,495000,19,60,1.5,-1.0
FRANKSTON SOUTH,827500,841500,820000,866500,840000,41,135,1.5,-3.1
NARRE WARREN,591000,620000,602500,600000,600000,47,182,1.5,0.0
QUEENSCLIFF,825000,1105000,990000,905000,837500,12,30,1.5,-7.5
NUMURKAH,245000,230000,232000,235000,249000,18,46,1.6,6.0
ROWVILLE,837000,860000,805000,822500,850000,47,218,1.6,3.3
ST ALBANS,590000,630000,591500,590000,600000,40,149,1.7,1.7
PORTLAND,275000,282000,317500,267500,280000,69,172,1.8,4.7
ROSANNA,1105000,1126000,1105000,1200000,1125000,9,34,1.8,-6.3
SEVILLE,613300,717500,622800,595000,625100,5,16,1.9,5.1
CARRUM DOWNS,527500,544600,575000,550000,580000,50,197,10.0,5.5
MAIDEN GULLY,513800,505000,508800,570000,565000,12,35,10.0,-0.9
BELMONT,558800,561000,575500,585000,615000,76,180,10.1,5.1
HASTINGS,508500,512500,555000,555000,560000,19,83,10.1,0.9
CANADIAN,377500,357000,385100,427500,416000,19,59,10.2,-2.7
EAGLEHAWK,329000,336000,344800,325500,363000,19,72,10.3,11.5
ESSENDON WEST,1140000,1320000,1378000,1300000,1257500,2,12,10.3,-3.3
KORUMBURRA,326500,316300,385000,390000,360000,19,58,10.3,-7.7
LYNBROOK,580300,650000,615000,690000,640000,17,46,10.3,-7.2
LYSTERFIELD,897000,951400,1145300,945000,990000,11,32,10.4,4.8
WHITTLESEA,569000,601300,604500,573500,628000,9,43,10.4,9.5
BRIGHTON,3005000,2707500,2964400,2825000,3325000,23,120,10.6,17.7
IVANHOE,1700000,1482500,1565000,1590000,1880000,9,42,10.6,18.2
SHEPPARTON NORTH,420000,534500,397000,527500,465000,5,11,10.7,-11.8
WINTER VALLEY,410000,440000,485000,457500,455000,19,38,11.0,-0.5
BRIAGOLONG,279000,300000,300000,262500,310000,3,9,11.1,18.1
LARA,495000,484500,552500,500000,550000,19,53,11.1,10.0
TORQUAY,765000,845000,815000,825000,850000,76,189,11.1,3.0
MADDINGLEY,470000,440000,518000,493500,522500,25,54,11.2,5.9
SILVERLEAVES,660000,575000,620000,575000,733800,2,11,11.2,27.6
YARRA GLEN,650000,703000,755500,640000,723000,5,20,11.2,13.0
BAYSWATER NORTH,707900,695600,759500,690000,788000,10,51,11.3,14.2
COCKATOO,570000,660000,600000,509000,635000,13,34,11.4,24.8
FLOWERDALE,285000,405000,420000,398000,317500,2,9,11.4,-20.2
KILMORE,422000,435000,476300,457500,470000,25,93,11.4,2.7
SOLDIERS HILL,462300,479000,554000,545000,515000,15,50,11.4,-5.5
BRIGHTON EAST,1700300,1762500,1797500,1850000,1895000,28,94,11.5,2.4
GLEN IRIS,1920000,2094000,2100000,2080000,2142000,27,106,11.6,3.0
ESSENDON NORTH,935000,1100000,1090000,1260000,1047500,2,11,12.0,-16.9
CORIO,350000,374800,367500,380000,392500,56,147,12.1,3.3
BROADMEADOWS,490000,562700,566300,554800,550000,20,48,12.2,-0.9
PIONEER BAY,347500,295000,312500,375000,390000,1,12,12.2,4.0
WARRNAMBOOL,370000,387000,393800,397500,415500,132,348,12.3,4.5
CASTLEMAINE,452000,559000,562500,480000,508800,28,79,12.6,6.0
SWAN HILL,277500,292500,315000,290000,312500,42,112,12.6,7.8
ASCOT (GREATER BENDIGO),425400,415000,453800,442500,480000,3,27,12.8,8.5
CAMPBELLS CREEK,483000,530000,442000,430000,545000,7,19,12.8,26.7
CLARINDA,789000,846600,852500,843800,890000,4,29,12.8,5.5
NEWLANDS ARM,480000,430500,422800,720000,541300,6,14,12.8,-24.8
CRESWICK,350000,365000,370000,380000,395000,17,51,12.9,3.9
WHITTINGTON,372000,385000,412000,361300,420000,9,28,12.9,16.3
PORT WELSHPOOL,150000,300000,330000,283000,340000,4,13,126.7,20.1
BOTANIC RIDGE,675000,720600,726000,720000,762500,23,81,13.0,5.9
THOMSON (GREATER GEELONG),387500,425000,419000,420000,437800,8,19,13.0,4.2
SEYMOUR,285000,312500,310000,340000,322500,21,69,13.2,-5.1
COBURG,953000,1070000,1132500,970000,1080000,26,129,13.3,11.3
HUNTLY,348800,367500,372500,371000,395000,18,36,13.3,6.5
WALLAN EAST,445000,462000,470000,457000,504300,8,47,13.3,10.3
COBURG EAST,960000,934000,943500,945000,1090000,5,41,13.5,15.3
OCEAN GROVE,687500,752500,711300,744000,780000,123,270,13.5,4.8
WANGARATTA,299500,343000,330100,372000,340000,95,266,13.5,-8.6
LONG GULLY,267500,303500,271000,290500,303800,12,42,13.6,4.6
MELTON WEST,413000,420000,470000,456000,469000,17,84,13.6,2.9
FITZROY NORTH,1275000,1450000,1672500,1625000,1450000,8,59,13.7,-10.8
GISBORNE,730000,757500,782000,810000,830000,26,90,13.7,2.5
CAMPBELLFIELD,505000,544000,530000,515000,575000,7,20,13.9,11.7
CHELSEA,900000,960000,880000,985000,1025000,9,43,13.9,4.1
ROBINVALE,241500,220000,196000,265000,275000,6,23,13.9,3.8
HALLS GAP,302800,320000,397500,350000,345000,7,15,14.0,-1.4
COOLAROO,438300,455000,480000,420300,500000,4,13,14.1,19.0
COHUNA,197000,192500,193000,240000,225000,17,42,14.2,-6.3
DINNER PLAIN,610000,515000,452500,557500,697500,6,16,14.3,25.1
PYRAMID HILL,125000,130000,115000,115000,143000,2,6,14.4,24.3
BLAIRGOWRIE,912500,950000,937500,945000,1045000,26,95,14.5,10.6
POREPUNKAH,515100,467000,467500,595500,590000,2,10,14.5,-0.9
ELSTERNWICK,2055000,1927500,2375000,2062500,2355000,8,25,14.6,14.2
JACKASS FLAT,313500,338500,415000,415000,360000,9,20,14.8,NA
METUNG,405000,390000,450000,455000,465000,27,43,14.8,2.2
REDAN,348500,369000,357500,367500,400000,17,47,14.8,8.8
ROSEBUD SOUTH,699000,730000,865000,650000,802500,11,45,14.8,23.5
WOODEND,693500,717500,661300,705000,796000,19,53,14.8,12.9
SALE,309000,329000,345000,275000,355000,91,190,14.9,29.1
SEDDON,925000,960000,1100000,1100000,1062500,12,42,14.9,-3.4
BARWON HEADS,913500,1027500,1390000,958500,1052500,22,55,15.2,9.8
FINGAL,1280000,1860000,991300,1176000,1475000,6,16,15.2,25.4
GARFIELD,540000,530000,600000,610000,623300,4,11,15.4,2.2
MONTMORENCY,838500,870000,904300,922800,967600,16,50,15.4,4.9
